@RELATION H4

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
37100,13.12,1.73,366,108.71,6.1
37200,13.11,1.74,368,109.54,6.13
37300,13.09,1.73,366,108.13,6.18
37400,13.09,1.73,368,109.53,5.83
37500,13.1,1.72,368,108.44,6.06
37600,13.1,1.73,366,108.85,6.04
37700,13.12,1.74,368,108.79,6.16
37800,13.11,1.73,366,108.85,6.05
37900,13.12,1.74,368,109.02,6.12
38000,13.11,1.74,368,108.78,6.05
38100,13.08,1.74,366,109.61,6.03
38200,13.06,1.75,368,109.96,5.82
38300,13.08,1.74,368,109.24,6.12
38400,13.09,1.73,368,109.3,6.03
38500,13.1,1.74,368,109.88,6.07
38600,13.09,1.74,368,108.21,6.18
38700,13.09,1.74,368,109.13,5.85
38800,13.1,1.74,366,109.08,6.09
38900,13.11,1.74,368,110.27,6.13
39000,13.06,1.75,366,108.53,6.09
39100,13.1,1.74,366,109.6,6.05
39200,13.11,1.73,366,108.93,6.13
39300,13.09,1.74,368,107.83,6.06
39400,13.1,1.74,366,108.44,5.79
39500,13.1,1.75,366,108.78,6.12
39600,13.1,1.75,368,109.33,5.81
39700,13.07,1.73,368,108.54,6.1
39800,13.08,1.73,366,107.63,6.09
39900,13.08,1.76,368,109.35,6.09
40000,13.09,1.75,366,108.36,6.05
40100,13.05,1.75,366,109.42,6.07
40200,13.1,1.74,366,108.1,6.05
40300,13.1,1.75,368,108.57,5.85
40400,13.08,1.74,368,108.61,6.1
40500,13.09,1.74,366,109.41,6.11
40600,13.11,1.74,366,109.31,6.01
40700,13.09,1.74,366,108.52,6.1
40800,13.11,1.73,366,109.4,6.06
40900,13.09,1.73,366,108.63,5.85
41000,13.08,1.73,366,109.64,6.05
41100,13.1,1.78,370,108.9,6.13
41200,13.08,1.75,368,108.79,6.12
41300,13.1,1.76,368,108.89,6.15
41400,13.12,1.77,368,107.87,6.1
41500,13.09,1.75,368,108.17,6.11
41600,13.1,1.75,368,108.54,6.06
41700,13.1,1.76,368,108.93,6.06
41800,13.09,1.74,366,108.84,6.13
41900,13.08,1.76,368,108.77,6.07
42000,13.08,1.75,368,108.31,6.12
42100,13.09,1.75,366,107.65,6.05
42200,13.1,1.77,368,108.84,6.07
42300,13.08,1.74,368,108.92,6.09
42400,13.09,1.74,368,108.74,6.1
42500,13.1,1.77,368,108.1,6.05
42600,13.06,1.73,366,108.29,6.03
42700,13.1,1.74,366,108.73,6.05
42800,13.08,1.77,368,108.76,5.75
42900,13.08,1.76,368,109.72,6.11
43000,13.09,1.76,368,109.93,6.06
43100,13.11,1.76,368,108.82,6.13
43200,13.08,1.76,368,108.61,6.08
43300,13.09,1.81,370,106.71,6.07
43400,13.07,1.75,368,108.9,6.08
43500,13.1,1.76,368,108.45,6.04
43600,13.12,1.77,368,109.21,6.02
43700,13.09,1.75,368,109.82,6.01
43800,13.09,1.74,366,109.11,6.05
43900,13.1,1.73,366,108.8,6.01
44000,13.09,1.78,368,108.5,6.11
44100,13.1,1.74,366,108.92,6.09
44200,13.08,1.77,368,107.88,6.01
44300,13.09,1.74,368,108.57,6.05
44400,13.09,1.75,368,108.25,6.1
44500,13.08,1.74,366,107.52,6.09
44600,13.1,1.74,366,108.41,6.04
44700,13.08,1.74,366,108.62,6.08
44800,13.08,1.74,368,108.51,6.08
44900,13.08,1.74,366,108.65,5.74
45000,13.07,1.76,368,109.5,6.07
45100,13.1,1.74,368,108.59,6.04
45200,13.08,1.74,366,108.42,6.06
45300,13.08,1.73,366,108.33,6.11
45400,13.11,1.74,368,108.75,6.08
45500,13.06,1.73,366,109.15,6.12
45600,13.09,1.73,366,108.75,6.07
45700,13.09,1.74,368,107.92,6.05
45800,13.08,1.75,366,108.42,6.02
45900,13.11,1.74,366,108.97,6.1
46000,13.1,1.74,368,107.96,5.76
46100,13.08,1.77,368,108.52,6.03
46200,13.09,1.77,368,109.72,5.77
46300,13.07,1.76,368,108.88,6.06
46400,13.07,1.75,366,108.48,6.05
46500,13.09,1.77,368,109.57,6.08
46600,13.1,1.78,368,108.9,6.08
46700,13.07,1.76,366,109.42,6.02
46800,13.07,1.8,368,109.45,6.08
46900,13.09,1.77,368,108.26,6.07
47000,13.08,1.78,370,108.14,6.08
47100,13.09,1.78,368,108.53,6.09
47200,13.11,1.77,370,108.78,6.09
47300,13.08,1.74,366,108.59,6.18
47400,13.09,1.75,368,109.17,6.08
47500,13.08,1.75,366,107.84,6.08
47600,13.1,1.74,366,108.57,6.02
47700,13.09,1.76,368,109.21,6.05
47800,13.09,1.74,366,107.57,5.79
47900,13.1,1.75,368,108.63,6.16
48000,13.08,1.75,368,108.86,6.21
48100,13.11,1.74,368,108.91,6.11
48200,13.08,1.75,368,109.47,6.09
48300,13.11,1.74,366,109.18,6.03
48400,13.08,1.73,366,108.59,6.08
48500,13.07,1.72,366,109,6.03
48600,13.09,1.72,366,108.31,6.08
48700,13.07,1.73,366,108.8,6.06
48800,13.08,1.72,368,108.14,6.07
48900,13.07,1.72,366,108.62,6.02
49000,13.07,1.71,366,108.21,6.07
49100,13.05,1.71,366,109.21,6.06
49200,13.07,1.71,366,108.45,6.01
49300,13.05,1.71,368,109.01,6.08
49400,13.06,1.71,366,108.57,5.82
49500,13.07,1.71,366,108.69,6.09
49600,13.06,1.71,366,108.18,6.04
49700,13.06,1.7,366,109.13,6.14
49800,13.05,1.7,366,108.18,6.02
49900,13.03,1.73,368,108.35,6.01
50000,13.04,1.71,366,108.81,6.02
50100,13.06,1.71,368,109.1,6.13
50200,13.02,1.73,368,108.21,5.83
50300,13.02,1.75,370,107.28,6.07
50400,13.06,1.74,368,108.96,6.12
50500,13.03,1.74,368,109.16,6
50600,13.05,1.72,368,107.23,6.07
50700,13.06,1.74,368,108.57,5.81
50800,13.06,1.74,368,108.78,6.09
50900,13.06,1.73,368,108.26,5.85
51000,13.09,1.74,368,108.1,6.09
51100,13.08,1.73,366,107.77,6.17
51200,13.09,1.75,368,107.93,6.06
51300,13.09,1.76,366,108.75,6.08
51400,13.08,1.74,368,107.44,6.07
51486,13.09,1.77,368,107.74,6.15
51500,13.11,1.77,368,108.53,5.83
51600,13.08,1.78,370,108.86,6.05
51700,13.08,1.75,368,109.32,6.01
51800,13.07,1.74,366,107.78,6.1
51900,13.11,1.75,368,107.73,6.16
52000,13.08,1.75,366,108.23,6.04
52100,13.09,1.74,368,108.24,6.01
52200,13.1,1.76,368,108.75,6.09
52300,13.08,1.75,368,108.35,6.06
52400,13.05,1.76,368,108.94,6.15
52500,13.09,1.75,368,106.56,6.06
52600,13.09,1.77,368,108.33,6.08
52700,13.1,1.74,366,107.26,6.12
52800,13.11,1.76,368,108.59,5.77
52900,13.06,1.77,368,109.17,6.05
53000,13.1,1.75,368,107.91,6.1
53100,13.1,1.75,366,108.25,6.05
53200,13.11,1.77,368,108.49,6.12
53300,13.09,1.77,370,109.62,5.84
53400,13.09,1.76,368,108.19,6.07
53500,13.07,1.77,368,109.07,5.8
53600,13.09,1.75,368,108.67,6.09
53700,13.11,1.77,368,109.03,5.85
53800,13.07,1.76,368,109.18,6.1
53900,13.1,1.77,368,108.74,5.78
54000,13.1,1.75,368,107.86,6.11
54100,13.12,1.77,370,109.27,6.09
54200,13.07,1.76,368,108.79,6.06
54300,13.1,1.76,368,108.43,6.09
54400,13.06,1.77,368,107.86,5.83
54500,13.07,1.76,368,108.59,6.09
54600,13.04,1.75,368,108.62,6.05
54700,13.09,1.75,368,107.81,6.13
54800,13.1,1.75,368,109.03,6.09
54900,13.08,1.76,368,108.87,6.09
55000,13.05,1.76,368,109.08,6.1
55100,13.09,1.76,370,108.77,6.03
55200,13.08,1.74,368,108.53,6.05
55300,13.1,1.74,368,107.46,6.06
55400,13.08,1.76,368,108.57,6.04
55402,13.1,1.8,368,108.93,6.12
55500,13.1,1.78,370,108.23,6.13
55600,13.1,1.75,368,108.14,6.14
55700,13.07,1.74,368,107.68,6.09
55800,13.09,1.75,368,108.25,6.09
55900,13.07,1.74,368,107.48,5.81
56000,13.08,1.75,366,107.38,6.05
56100,13.08,1.74,366,107.69,6.14
56200,13.08,1.75,368,108.38,6.08
56300,13.11,1.75,366,107.9,6.1
56400,13.08,1.74,368,108.44,6.07
56500,13.09,1.76,368,109.11,6.07
56600,13.09,1.74,368,107.08,6.08
56700,13.1,1.75,368,108.01,6.04
56800,13.12,1.74,368,107.6,6.06
56900,13.09,1.74,368,108.86,6.09
57000,13.11,1.75,368,107.71,6.11
57100,13.07,1.74,366,106.89,6.05
57200,13.09,1.74,368,106.84,6.04
57300,13.12,1.75,366,108.37,6.15
57400,13.1,1.78,370,107.9,6.09
57500,13.1,1.75,368,108.14,6.04
57600,13.08,1.77,368,108.19,6.04
57700,13.1,1.76,368,108.8,6.07
57800,13.1,1.76,368,108.31,6.1
57900,13.08,1.75,366,108.7,6.03
58000,13.08,1.76,368,108.36,6.03
58100,13.1,1.76,368,108.43,6.09
58200,13.1,1.75,368,107.1,6.04
58300,13.1,1.75,368,108.68,6.16
58400,13.08,1.75,368,107.87,6.07
58500,13.1,1.76,366,108.56,5.8
58600,13.1,1.76,366,109.46,6.04
58700,13.09,1.76,368,107.44,6.15
58800,13.11,1.75,366,106.52,6.09
58900,13.08,1.76,368,108.73,6.04
59000,13.08,1.75,366,107.52,6.1
59100,13.08,1.76,368,106.96,6.13
59200,13.08,1.76,368,108.75,6.06
59300,13.09,1.77,368,109.35,6.13
59400,13.09,1.75,368,107.36,6.09
59436,13.1,1.75,362,107.19,5.19
59500,13.1,1.78,368,108.64,6.08
59600,13.08,1.78,368,108.13,6.09
59700,13.1,1.76,366,109.44,6.05
59800,13.13,1.77,368,108.21,6.06
59900,13.1,1.78,368,108.65,6.04
60000,13.1,1.77,368,107.88,6.05
60100,13.09,1.78,368,109.31,6.09
60200,13.1,1.76,368,109.86,6.09
60300,13.07,1.78,368,108.98,5.82
60400,13.06,1.77,368,108.47,6.05
60500,13.09,1.79,370,108.01,6.08
60600,13.07,1.78,368,108.83,5.75
60700,13.1,1.76,368,109.66,5.61
60800,13.08,1.77,368,108.08,6.11
60900,13.1,1.78,370,109.72,6.06
61000,13.08,1.78,368,108.44,6.07
61100,13.07,1.78,368,108.65,6.05
61200,13.1,1.77,368,109.61,6.06
61300,13.11,1.77,368,109.86,6.03
61400,13.08,1.76,368,109.72,6.01
61500,13.05,1.76,368,108.86,5.79
61600,13.08,1.76,368,108.63,6.1
61700,13.09,1.77,368,109.3,5.77
61800,13.07,1.76,368,108.82,6.1
61900,13.08,1.77,368,109.88,6.07
62000,13.07,1.77,368,109.72,6.1
62100,13.09,1.76,366,109.04,6.06
62200,13.08,1.79,370,108.09,6.06
62300,13.1,1.76,368,108.38,6.09
62400,13.06,1.77,368,108.75,6.09
62500,13.06,1.77,368,109.17,6.07
62600,13.07,1.76,368,109.42,5.87
62700,13.09,1.77,368,109.01,6.04
62800,13.09,1.79,368,108.38,6.04
62900,13.09,1.77,368,108.8,6.12
63000,13.1,1.77,366,109.17,6.11
63100,13.1,1.76,368,108.76,6.09
63200,13.08,1.76,368,108.64,5.79
