TESTING PARAMETERS,POWER SUPPLY VOLTAGE,CURRENT,FREQUENCY,NOISE LEVEL,OPERATING VOLTAGE RANGE
39300,13.1,1.65,342,103.51,7.87
39400,13.09,1.65,344,104.97,6.98
39500,13.08,1.69,344,103.78,6.92
39600,13.06,1.65,346,103.62,8.75
39700,13.08,1.62,342,104.1,7.86
39800,13.09,1.59,342,105.53,6.98
39900,13.12,1.67,346,103.38,7.86
40000,13.09,1.64,342,104.81,7.9
40100,13.09,1.65,342,103.86,7.83
40200,13.07,1.67,344,102.66,7.81
40300,13.08,1.65,344,103.85,8.73
40400,13.1,1.64,342,103.29,7.91
40500,13.1,1.7,346,103.11,7
40600,13.09,1.7,346,103.74,7.64
40700,13.1,1.69,346,102.72,6.91
40800,13.09,1.66,348,102.86,7
40900,13.11,1.68,344,101.75,7.87
41000,13.08,1.65,344,103.94,7.62
41100,13.07,1.65,344,103.34,6.96
41200,13.1,1.66,346,103.35,7.89
41300,13.1,1.68,344,103.07,6.92
41400,13.09,1.7,346,104.6,7.85
41500,13.1,1.68,346,103.09,6.89
41600,13.08,1.69,346,103.09,6.93
41700,13.09,1.63,342,103.48,7.82
41800,13.1,1.64,344,103.81,6.95
41900,13.08,1.63,340,103.78,8.82
42000,13.09,1.66,344,103.35,7.88
42100,13.1,1.64,342,104.35,8.72
42200,13.09,1.65,344,103.71,8.78
42300,13.08,1.64,342,102.99,7.87
42400,13.08,1.68,342,103.74,7.87
42500,13.09,1.63,344,104.05,7.89
42600,13.1,1.65,342,104.02,7.85
42700,13.11,1.64,342,105.26,6.97
42800,13.08,1.69,342,102.92,7.93
42900,13.09,1.6,338,105.64,7.86
43000,13.11,1.7,346,103.25,7.83
43100,13.07,1.68,342,103.65,7.81
43200,13.12,1.62,340,106.39,7.9
43300,13.12,1.66,342,103.85,6.94
43400,13.11,1.65,344,104.75,7.62
43500,13.07,1.7,344,102.72,6.95
43600,13.06,1.68,344,104.41,7.88
43700,13.08,1.62,342,105.14,8.78
43800,13.07,1.66,342,104.33,7.9
