@relation Training

@attribute COUNT numeric
@attribute "POWER SUPPLY VOLTAGE" numeric
@attribute CURRENT numeric
@attribute FREQUENCY numeric
@attribute "NOISE LEVEL" numeric
@attribute "OPERATING VOLTAGE RANGE" numeric


@data
16900 , 13.13 , 1.44 , 368 , 106.6 , 6.7 
17000 , 13.12 , 1.46 , 364 , 106.8 , 7.52 
17100 , 13.12 , 1.46 , 374 , 106.9 , 7.45 
17200 , 13.14 , 1.45 , 360 , 106.77 , 8.3 
17300 , 13.14 , 1.44 , 360 , 105.57 , 7.23 
17400 , 13.14 , 1.44 , 366 , 106.71 , 7.47 
17500 , 13.15 , 1.43 , 356 , 106.91 , 6.54 
17600 , 13.13 , 1.41 , 374 , 106.01 , 7.21 
17700 , 13.14 , 1.43 , 362 , 106.93 , 7.84 
17800 , 13.12 , 1.4 , 382 , 104.26 , 8.19 
17900 , 13.13 , 1.43 , 368 , 106.33 , 7.62 
18000 , 13.15 , 1.43 , 358 , 106.35 , 6.76 
18100 , 13.13 , 1.43 , 354 , 105.76 , 7.48 
18200 , 13.11 , 1.44 , 382 , 106.46 , 7.55 
18300 , 13.14 , 1.42 , 380 , 105.05 , 8.17 
18400 , 13.11 , 1.43 , 376 , 105.42 , 7.38 
18500 , 13.13 , 1.45 , 374 , 106.49 , 7.67 
18600 , 13.13 , 1.39 , 382 , 103.28 , 8.66 
18700 , 13.15 , 1.4 , 362 , 103.9 , 8.1 
18800 , 13.14 , 1.4 , 384 , 103.77 , 7.96 
18900 , 13.13 , 1.43 , 380 , 104.9 , 7.36 
19000 , 13.12 , 1.42 , 364 , 106.88 , 6.71 
19100 , 13.15 , 1.41 , 382 , 102.93 , 7.56 
19200 , 13.15 , 1.39 , 370 , 103.15 , 7.55 
19300 , 13.11 , 1.39 , 388 , 103.09 , 7.28 
19400 , 13.11 , 1.39 , 370 , 105.22 , 8.47 
19500 , 13.13 , 1.39 , 374 , 105.83 , 7.48 
19600 , 13.12 , 1.37 , 374 , 105.4 , 8.1 
19700 , 13.13 , 1.43 , 382 , 104.02 , 6.73 
19800 , 13.12 , 1.4 , 382 , 103.72 , 7.69 
19900 , 13.11 , 1.35 , 378 , 105.7 , 7.92 
20000 , 13.13 , 1.36 , 376 , 106.16 , 8.13 
20100 , 13.14 , 1.37 , 392 , 106.86 , 8.27 
20200 , 13.15 , 1.39 , 390 , 106.05 , 7.96 
20300 , 13.13 , 1.37 , 388 , 106.74 , 7.84 
20400 , 13.11 , 1.33 , 382 , 106.14 , 8.07 
20500 , 13.15 , 1.36 , 388 , 106.15 , 7.9 
20600 , 13.14 , 1.4 , 376 , 104.8 , 7.96 
20700 , 13.13 , 1.4 , 388 , 105.73 , 8.19 
20800 , 13.14 , 1.38 , 384 , 106.76 , 7.35 
20900 , 13.13 , 1.37 , 380 , 105.57 , 7.84 
21000 , 13.13 , 1.38 , 390 , 106.47 , 7.23 
21100 , 13.13 , 1.39 , 372 , 107.09 , 8.06 
21200 , 13.1 , 1.43 , 374 , 104.69 , 7.57 
21300 , 13.12 , 1.42 , 376 , 104.75 , 7.84 
21400 , 13.14 , 1.35 , 384 , 105.59 , 8.01 
21500 , 13.15 , 1.35 , 366 , 105.28 , 8.77 
21600 , 13.11 , 1.37 , 378 , 107.49 , 7.71 
21700 , 13.12 , 1.38 , 374 , 106 , 7.23 
21800 , 13.15 , 1.34 , 386 , 107.01 , 7.64 
21900 , 13.13 , 1.39 , 372 , 105.59 , 6.85 
22000 , 13.11 , 1.38 , 386 , 106.06 , 7.45 
22100 , 13.15 , 1.34 , 392 , 106.08 , 8.55 
22200 , 13.1 , 1.31 , 370 , 106.26 , 7.36 
22300 , 13.17 , 1.35 , 406 , 106 , 7.76 
22400 , 13.13 , 1.35 , 372 , 106.07 , 8.89 
